"parental_education","family_income","internet_access","study_environment","study_hours_per_day","attendance_rate","sleep_hours","social_media_hours","assignment_completion_rate","participation_score","online_courses_completed","tutoring","pass"
"Bachelor","Medium","Yes","Noisy",4.46,83.7,5.96,4.6,90.9,95.6,3,"No",0
"High School","Medium","Yes","Noisy",3.17,86.9,8.02,3.7,80.4,69.6,0,"No",0
"Bachelor","Low","Yes","Moderate",2.88,81.7,8.42,7.2,84.7,64.8,4,"No",0
"High School","Low","Yes","Quiet",3.04,83.9,6.21,2.3,71.8,68.2,2,"No",0
"High School","Medium","No","Noisy",5.3,80.4,6.02,2.7,56.5,92.4,1,"No",0
"High School","Medium","Yes","Moderate",2.36,88.8,7.85,2.8,78.7,61.9,3,"Yes",0
"Bachelor","Low","Yes","Quiet",1.66,80.9,6.99,2.8,86.4,67.3,2,"No",0
"Bachelor","Medium","Yes","Moderate",2.97,82.6,6.58,3.7,84.3,34.4,2,"No",0
"PhD","Medium","Yes","Quiet",2.5,94.1,8.87,2.3,90.8,42.8,5,"No",0
"Bachelor","Low","Yes","Moderate",3.66,91.4,7.31,3,70.3,65.1,6,"No",0
"Master","Medium","Yes","Moderate",2.02,99.4,6.66,3.7,64,58.1,0,"No",0
"High School","Medium","Yes","Moderate",3.86,73.9,7.56,3,76.1,53.7,1,"No",0
"Master","Low","Yes","Noisy",3.88,79,7.89,3.5,95.9,66.1,5,"No",0
"Bachelor","Medium","Yes","Quiet",1.65,92.6,8.5,3.8,62.8,89.4,2,"No",0
"Master","Medium","Yes","Quiet",0.98,74.2,7.51,2.2,97.6,70.4,4,"No",0
"High School","Medium","Yes","Quiet",2.04,81.2,6.21,3.6,74,71.4,2,"No",0
"High School","Medium","Yes","Quiet",1.92,87.7,6.43,2.7,54,53.6,3,"No",0
"High School","Medium","No","Moderate",2.96,96.3,8.29,2.8,100,59.5,1,"No",0
"PhD","Medium","Yes","Quiet",4.11,100,5.71,0.8,67.8,63.2,1,"No",0
"PhD","Low","Yes","Quiet",3.78,73.1,8.08,0.5,83,61,4,"Yes",0
"Bachelor","Medium","No","Moderate",4.14,83,7.02,3.2,77.4,70.2,1,"No",0
"High School","High","Yes","Quiet",2.21,89,5.92,1.9,76.2,95.5,1,"No",0
"High School","Medium","Yes","Moderate",1.92,85,6.8,3.1,100,87.6,2,"No",0
"High School","High","Yes","Noisy",4.19,77.6,6.59,1.7,62.8,86.8,2,"No",0
"Bachelor","High","No","Moderate",3.11,100,5.72,5.1,77.4,84,5,"No",0
"High School","Low","Yes","Quiet",2.49,76.6,6.54,2.1,64.2,76.8,5,"No",0
"High School","Medium","Yes","Quiet",1.76,88.6,6.51,1,70.9,71,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.68,70.2,5.59,2.4,54.1,93.2,3,"No",0
"Bachelor","Low","Yes","Noisy",3,100,6.8,4.8,49.1,76.1,3,"Yes",0
"High School","Medium","Yes","Moderate",3.33,80.9,7.82,3.8,81.6,77.8,1,"No",0
"Master","Medium","Yes","Quiet",1.58,69.8,8.43,1.6,73,96.7,5,"No",0
"Bachelor","High","Yes","Moderate",2.74,94.6,7.23,3.5,74.4,67,2,"No",0
"High School","Low","Yes","Quiet",1.25,82.4,7.4,0.5,85.8,30.7,0,"No",0
"High School","High","Yes","Moderate",2.73,93.5,6.95,1.9,86.7,99,1,"Yes",0
"High School","Medium","No","Quiet",3.35,99.2,7.62,2.5,83.7,63.3,7,"No",0
"Master","Medium","Yes","Moderate",3.14,66.8,8.52,1.6,69.8,57.9,0,"No",0
"High School","High","Yes","Moderate",1.18,90.5,6.57,0.1,86.2,75,1,"No",0
"Master","Medium","Yes","Noisy",1.65,74.2,6.81,2.8,62.3,69.1,1,"No",0
"Bachelor","Low","Yes","Quiet",4.42,72.7,6.51,4.6,100,57.5,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.37,96.5,6.5,2.7,71.2,84.9,2,"No",0
"Master","Medium","Yes","Moderate",4.14,84.4,6.91,5.7,93.5,74.1,1,"No",0
"High School","Medium","Yes","Quiet",2.98,82.8,7.19,3.6,81.5,63.6,2,"No",0
"Bachelor","High","Yes","Quiet",2.95,78,7.56,5.3,61.6,82,2,"No",0
"High School","Medium","Yes","Quiet",1.54,85,7.38,0.1,100,70.7,1,"No",0
"High School","Low","Yes","Noisy",4.16,86.6,6.45,2.8,94.2,50,1,"No",0
"Bachelor","Medium","Yes","Quiet",4.01,65.4,6.46,3.3,99.3,70.8,4,"No",0
"Bachelor","High","Yes","Noisy",3.81,62.7,6.43,3.6,70.1,63.7,1,"Yes",0
"High School","Medium","Yes","Moderate",3.05,87.1,4.85,2.4,75.4,80.3,2,"No",0
"Master","Medium","Yes","Moderate",2.88,79.7,5.85,1.8,59,72.8,3,"Yes",0
"High School","High","Yes","Moderate",1.39,70.9,6.64,1.7,71,80,2,"Yes",0
"Master","High","Yes","Quiet",2.37,99.6,6.61,4.5,87.5,97.1,1,"No",0
"Bachelor","High","Yes","Noisy",1.65,82.8,7.16,2.8,85,70.3,1,"No",0
"Bachelor","Medium","Yes","Moderate",3.64,80,7.33,4.7,49.2,78.2,2,"No",0
"Master","Low","Yes","Noisy",2.15,85.7,6.2,4.6,55,57.9,1,"No",0
"High School","High","Yes","Quiet",2.63,76.7,6.65,3.9,98.6,66.6,2,"No",0
"Bachelor","Low","No","Moderate",1.62,83.5,7.9,3.8,68.3,69,1,"No",0
"Bachelor","Medium","Yes","Moderate",3.75,100,9.18,5.1,63.9,68.9,3,"No",0
"High School","Low","Yes","Moderate",2.07,86.2,4.99,5.3,77.8,67.1,1,"No",0
"Master","High","No","Noisy",1.88,86.4,7.98,3.6,82.9,93,3,"No",0
"High School","Medium","No","Moderate",0.5,100,6.98,4.1,84,61.4,2,"No",0
"High School","Medium","Yes","Quiet",3.76,77.7,6.3,3,100,47.6,3,"No",0
"Bachelor","Low","Yes","Quiet",2.18,77.9,8.91,4.5,97,70.9,4,"Yes",0
"High School","Low","Yes","Quiet",3.2,62.8,7.64,1.8,87.8,70.4,3,"No",0
"High School","Medium","Yes","Moderate",0.5,75.9,7.57,2.4,62.7,62.6,5,"No",0
"Bachelor","Medium","Yes","Quiet",2.6,79.1,7.22,3.5,99.2,75.7,0,"No",0
"Bachelor","High","Yes","Moderate",1.71,100,6.35,0,75.8,41.1,1,"No",0
"Master","Medium","No","Noisy",4.98,84.7,7.38,4.4,49.8,49.4,1,"No",0
"Bachelor","Medium","No","Moderate",1.78,84.6,5.62,3,72.2,78.3,6,"Yes",0
"High School","Medium","Yes","Quiet",3.37,89.5,7.48,3.5,88.1,81,4,"No",0
"Bachelor","Low","Yes","Moderate",2.9,73,6.99,2.4,80.9,59.9,2,"No",0
"High School","Medium","Yes","Moderate",3.45,68.9,7.01,5.2,52.7,55.9,3,"No",0
"High School","Low","Yes","Moderate",1.67,87.4,7.38,0,75.9,75.6,2,"Yes",0
"High School","Medium","Yes","Moderate",3.46,81.5,5.57,5.2,84.2,45.1,1,"No",0
"High School","Medium","Yes","Moderate",0.5,87.1,9.2,4.3,94.6,91.6,4,"No",0
"Bachelor","Medium","Yes","Quiet",2.49,86.1,7.39,3.7,55.8,63.9,1,"No",0
"Bachelor","High","Yes","Noisy",4.33,73.5,6.17,3.1,76.4,75.4,1,"Yes",0
"Master","High","No","Quiet",3.33,100,6.1,4.2,87.6,58.1,2,"Yes",0
"Bachelor","High","Yes","Noisy",1.57,78.2,8.2,3.2,78.2,52,2,"No",0
"Bachelor","Medium","No","Moderate",1.8,71.9,6.29,2.2,86.4,79.3,2,"No",0
"Bachelor","Medium","Yes","Quiet",1.25,68.9,9.05,5.6,75.1,95.5,3,"No",0
"Bachelor","High","Yes","Quiet",2.06,85.7,7.2,0.8,58.2,50.4,1,"No",0
"High School","Medium","Yes","Quiet",0.5,97.2,6.92,3.9,95.9,66,2,"No",0
"High School","Low","Yes","Moderate",4.57,80,8.6,0.4,80.7,75.6,4,"No",0
"Bachelor","Medium","Yes","Moderate",2.17,76.3,7.49,1.7,82.2,100,2,"No",0
"High School","Medium","Yes","Quiet",1.97,78,4.96,2.3,67.6,67.5,1,"No",0
"High School","Medium","Yes","Quiet",2.75,79.7,7.47,5.1,74.4,66.3,2,"No",0
"PhD","Low","Yes","Noisy",2.21,72.5,6.83,4.6,90.3,76.4,0,"No",0
"High School","Low","Yes","Moderate",3.32,75.9,8.02,1,78.6,43.8,1,"Yes",0
"PhD","Medium","Yes","Quiet",2.94,69.1,4.93,2.5,92.7,62.2,2,"No",0
"High School","Medium","Yes","Moderate",3.22,71.4,5.09,2.1,56.3,67.6,1,"Yes",0
"Bachelor","Medium","Yes","Quiet",3.02,67.8,8.07,2.7,100,71.2,0,"No",0
"High School","High","Yes","Moderate",3.2,77,5.25,0.9,83.6,61.5,1,"No",0
"Bachelor","Medium","Yes","Noisy",1.82,95.5,6.37,1.6,82.5,72.7,2,"No",0
"High School","Medium","Yes","Quiet",2.1,84.1,7.39,0,79.8,57.3,2,"No",0
"Master","Low","Yes","Moderate",3.56,84.3,6.23,5.7,70.3,70.9,0,"No",0
"Bachelor","Low","Yes","Quiet",4.53,81.1,7.06,3,88.1,50.1,1,"No",0
"Bachelor","Low","Yes","Quiet",3.85,73,7.42,0.9,54.3,83.3,4,"No",0
"Bachelor","Low","Yes","Moderate",2.28,86.6,5.8,2.2,71.3,61.4,2,"No",0
"High School","Medium","Yes","Moderate",3.75,82.6,5.79,5.6,92.7,65.8,1,"No",0
"High School","Low","Yes","Moderate",2.16,88.8,6.54,4.4,84.3,78.6,2,"Yes",0
"High School","High","Yes","Quiet",3.59,82.3,6.69,1.9,83.6,45.3,1,"No",0
"High School","Medium","Yes","Noisy",3.17,82.6,7.9,0,69.8,88.7,1,"Yes",0
"Bachelor","High","No","Moderate",3.61,86.3,4.78,1.7,68.5,33.4,0,"No",0
"Bachelor","Low","Yes","Quiet",4.26,99.7,6.36,5.1,80.2,66.5,0,"No",0
"High School","Low","Yes","Noisy",1.1,80,5.79,1,62.9,78.9,3,"No",0
"Bachelor","Medium","Yes","Quiet",2.53,93.1,7.12,3.8,100,57.4,1,"Yes",0
"Master","Medium","Yes","Moderate",1.51,87.6,6.04,1.3,97.5,57.8,1,"Yes",0
"High School","Low","Yes","Moderate",0.5,91.3,7.69,6,86.1,76.7,1,"No",0
"Master","Medium","No","Quiet",2.51,82.9,9.05,2.7,58.6,81.7,1,"No",0
"Bachelor","Low","Yes","Quiet",1.56,95.2,6.65,1.7,80.2,89,2,"No",0
"High School","Low","Yes","Noisy",3.29,84.5,7.94,2.4,73.9,62.5,1,"No",0
"Bachelor","Medium","Yes","Moderate",1.19,89.2,7.15,0,88.9,68.6,1,"Yes",0
"Master","High","Yes","Moderate",4.72,86.3,6.97,4.2,61,57.8,3,"Yes",0
"Bachelor","Low","Yes","Moderate",1.44,80.3,7.44,1.5,100,56.4,1,"Yes",0
"Master","Medium","Yes","Moderate",1.29,86,6.29,0.5,86.6,60.7,5,"No",0
"High School","Medium","No","Quiet",2.42,81,8.19,1.9,71.8,78.3,1,"No",0
"High School","Medium","Yes","Moderate",1.6,86.3,7.23,4.9,45.6,77.2,3,"No",0
"Master","Low","Yes","Noisy",1.73,76.7,6.39,2.9,84.6,58.4,0,"No",0
"High School","Medium","Yes","Noisy",3.95,66.8,6.83,2.6,76.6,69.3,1,"Yes",0
"High School","Medium","Yes","Moderate",3.42,100,7.56,3,43.6,72.1,3,"No",0
"PhD","High","Yes","Quiet",1.46,80.6,5.74,0.9,80.4,27.1,2,"Yes",0
"High School","Low","Yes","Noisy",3.67,76,7.55,3.9,82,88.4,2,"Yes",0
"High School","Low","No","Quiet",2.43,85.5,8.49,0,84.8,51.4,4,"No",0
"PhD","Medium","Yes","Noisy",0.63,76.9,5.98,5.5,70.5,80.1,0,"No",0
"High School","High","Yes","Moderate",1.76,81.1,5.8,4.5,100,57.8,3,"No",0
"Bachelor","High","Yes","Quiet",2.89,86.8,7.24,4.3,56.4,89.7,5,"No",0
"High School","Low","Yes","Noisy",3.78,70.8,7.41,1.3,66.1,59.2,3,"No",0
"Bachelor","Medium","Yes","Quiet",1.97,75,7.17,2.7,59.7,72.4,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.51,86.8,6.68,4.1,63.6,45.1,1,"Yes",0
"Master","Medium","Yes","Moderate",4.15,87.6,7.02,3.7,58.1,78.7,2,"No",0
"High School","Medium","No","Moderate",2.85,70.9,6.74,3.6,67.6,74.3,0,"No",0
"High School","Medium","Yes","Quiet",1.1,74.5,8.24,0.5,82.8,79.5,0,"No",0
"High School","Medium","Yes","Quiet",1.65,73.9,7.82,3,69.4,63.5,4,"No",0
"Bachelor","Medium","Yes","Moderate",3.23,85,5.77,2.4,77.5,71.2,4,"No",0
"Master","Low","Yes","Noisy",0.79,94.2,7.83,4.4,92.7,47,0,"Yes",0
"Bachelor","Medium","Yes","Moderate",0.7,89.7,7.25,3,100,75.4,4,"Yes",0
"Bachelor","Low","Yes","Noisy",3.14,79,8.41,3.4,93.9,70.1,2,"Yes",0
"High School","Low","Yes","Moderate",2.73,73.9,8.07,3.3,77.9,42.6,3,"No",0
"Master","High","Yes","Quiet",1.78,100,7.3,0.8,100,67.6,2,"No",0
"Bachelor","Medium","Yes","Noisy",3.58,67.8,6.12,4,87.7,51.3,3,"Yes",0
"Master","Medium","Yes","Noisy",2.71,64.7,6,2,66.8,61.1,4,"No",0
"Master","High","Yes","Moderate",1.32,81,7.08,5.6,82.4,85.1,1,"Yes",0
"Master","Medium","Yes","Moderate",1.34,89.9,7.11,5,100,40.1,1,"No",0
"High School","Medium","Yes","Noisy",3.48,85.2,5.92,3.8,68.4,42.6,5,"No",0
"High School","Low","Yes","Noisy",2.13,96.8,7.51,3,100,97.6,0,"Yes",0
"High School","Low","Yes","Quiet",2.98,72.9,6.56,4.5,75.2,65.1,0,"No",0
"Bachelor","Low","Yes","Noisy",3.19,74.3,7.3,4.2,58.1,56.2,1,"No",0
"Bachelor","High","Yes","Quiet",1.16,94.3,7.5,2,86.5,66.2,1,"No",0
"High School","Medium","Yes","Quiet",3.45,78,6.56,3.8,92.8,95.9,3,"No",0
"Bachelor","Low","Yes","Quiet",2.01,79.5,7.24,2.2,67.7,100,1,"No",0
"High School","High","Yes","Quiet",1.54,75,7.93,3.2,78,92.2,4,"No",0
"High School","Medium","Yes","Noisy",2.67,84.5,6.93,0,81.3,64.9,0,"Yes",0
"Bachelor","Medium","Yes","Quiet",1.37,77.7,6.46,1.5,73.9,93.8,3,"No",0
"High School","Low","Yes","Moderate",3,87.5,6.22,3.5,76,62.2,3,"Yes",0
"Master","Low","Yes","Noisy",2.6,70.3,6.98,3.4,71.5,51.9,3,"Yes",0
"High School","Low","Yes","Quiet",2.14,67.6,7.2,3.2,86.7,82,3,"No",0
"High School","Medium","Yes","Quiet",2.63,84,9.54,2.8,74.6,63.5,1,"No",0
"Bachelor","High","Yes","Noisy",1.91,84.4,5.4,3.7,84.4,71.3,2,"No",0
"High School","Low","Yes","Moderate",4.11,84.6,4.64,3.1,65.3,91.4,1,"No",0
"High School","Medium","Yes","Moderate",2.45,88.4,7.57,3.3,58.3,61.7,0,"No",0
"PhD","Low","Yes","Quiet",3.09,100,6.29,5.4,80.8,68.1,2,"Yes",0
"Bachelor","Medium","Yes","Noisy",3.41,90,7.88,4.6,98.9,90.5,2,"No",0
"Bachelor","Medium","No","Noisy",1.99,78.7,6.57,4.6,91.4,100,1,"No",0
"Bachelor","Medium","Yes","Noisy",2.93,85.3,6.11,5.8,100,75.2,2,"No",0
"Bachelor","Medium","No","Quiet",1.84,82.4,5.27,0.7,100,75.5,1,"Yes",0
"High School","Medium","Yes","Moderate",2.77,51.8,7.24,2.3,100,51.5,0,"No",0
"Master","High","Yes","Moderate",1.69,72.9,7.17,6.9,100,77.6,1,"No",0
"Bachelor","Medium","Yes","Moderate",1.71,86.3,6.83,3.6,65.7,64.1,1,"Yes",0
"Master","High","Yes","Moderate",4.32,69,7.74,4.6,65.3,77.2,3,"No",0
"Bachelor","Low","Yes","Moderate",3.29,83.2,6.07,1.9,78.9,69.4,0,"No",0
"Bachelor","High","Yes","Quiet",2.32,88.1,6.83,2.5,87.3,76.6,2,"No",0
"Bachelor","Medium","Yes","Quiet",2.81,90.2,6.29,2.9,77,67,1,"No",0
"High School","Medium","Yes","Moderate",2.83,71.7,6.93,3.5,63.8,51.5,0,"Yes",0
"High School","Medium","No","Noisy",1.01,88.5,7.51,4.3,84.8,67,0,"Yes",0
"High School","High","Yes","Moderate",2.69,100,5.9,5.5,90.7,47,2,"No",0
"PhD","Medium","Yes","Quiet",1.43,92.8,6.16,4.2,72.8,91.3,0,"No",0
"Master","Low","Yes","Noisy",4,79.4,8.02,1.2,100,61.1,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.64,86.8,7.44,3.3,65.4,67,1,"No",0
"High School","Low","Yes","Noisy",3.18,67.8,6.44,4.3,66.2,64.6,2,"No",0
"PhD","Low","Yes","Quiet",3.52,94.6,6.39,2.2,67.9,59.9,2,"Yes",0
"High School","Medium","Yes","Quiet",2.53,78.7,6.67,2.5,73.9,57.7,4,"Yes",0
"High School","High","Yes","Quiet",2.08,87.4,7.02,3.5,97.1,64.3,1,"No",0
"High School","Medium","No","Moderate",1.9,100,5.92,4.1,64.5,64.9,1,"Yes",0
"High School","Medium","Yes","Quiet",2.52,84.3,5.72,4.1,99.1,58.2,6,"No",0
"Master","Low","Yes","Moderate",1.98,82.6,8.22,0,73.7,91.6,2,"No",0
"Master","Medium","Yes","Noisy",2.47,85,5.08,1.7,82.1,71.5,1,"Yes",0
"Master","Low","Yes","Moderate",3.78,100,6.03,2.8,54.4,68,0,"Yes",0
"High School","Medium","Yes","Moderate",1.8,74.1,6.39,1.7,66.7,63.1,2,"No",0
"High School","Low","Yes","Quiet",2.83,80.4,7.2,3.3,68,74,3,"No",0
"Bachelor","Medium","Yes","Noisy",0.5,96.1,7.45,4.5,65.9,73.5,1,"Yes",0
"High School","High","Yes","Moderate",1.21,86.6,6.96,3.1,82.8,59.2,1,"Yes",0
"Master","Medium","Yes","Moderate",2.89,83.9,6.7,0.6,94.8,71.8,4,"No",0
"Master","Medium","Yes","Moderate",1.93,69,5.93,2.9,95,60.5,1,"Yes",0
"PhD","High","Yes","Quiet",2.19,70.6,5.43,0.8,54.9,54.8,3,"Yes",0
"High School","Low","Yes","Noisy",2.85,80.4,5.65,4.5,69.1,72,2,"No",0
"High School","Medium","Yes","Quiet",3.66,85.6,5.94,5,80.5,57.3,1,"No",0
"High School","Medium","Yes","Noisy",2.32,93,5.87,2.2,87.1,52.9,1,"No",0
"High School","Medium","Yes","Quiet",0.5,83.5,6.28,2.6,95.9,44.1,3,"Yes",0
"High School","High","Yes","Noisy",2.82,100,5.64,2.4,86.3,72.2,1,"No",0
"High School","High","Yes","Moderate",1.47,85.2,7.47,6.2,69.3,73.2,0,"No",0
"Master","Medium","No","Moderate",3.25,88.9,6.31,0.7,74.1,31.6,1,"No",0
"Bachelor","Medium","Yes","Noisy",2.81,81.7,6.51,3,74.3,75,5,"No",0
"Bachelor","Low","Yes","Moderate",2.7,79.8,5.31,1.1,69.1,55.7,2,"No",0
"High School","Medium","Yes","Moderate",2.33,79.7,7.42,0,62.8,42.2,1,"No",0
"Master","Low","Yes","Noisy",2.38,87.7,7.55,2.9,93.4,46,1,"No",0
"High School","Medium","Yes","Quiet",2.32,81.4,6.34,0.6,81.8,63.3,2,"No",0
"High School","Medium","No","Quiet",2.65,73.1,7.28,3.1,65.5,55.3,1,"Yes",0
"Master","Medium","Yes","Noisy",2.59,82.8,6.3,0.9,100,44.9,3,"Yes",0
"Master","Medium","Yes","Moderate",2.11,87.3,6.71,2.1,100,57.8,2,"No",0
"High School","Medium","Yes","Quiet",0.5,86.5,6.95,4.8,88.7,65.7,1,"Yes",0
"High School","Medium","Yes","Quiet",4.23,100,7.96,4.5,96.2,30.4,3,"No",0
"Master","Medium","Yes","Quiet",3.99,90.7,5.84,3.8,83.9,76.4,2,"Yes",0
"Master","Medium","Yes","Quiet",2.41,75.9,6.96,2.3,84.4,99.4,0,"No",0
"PhD","Medium","Yes","Moderate",3.51,98.4,6.49,1.7,45.8,82.8,5,"Yes",0
"High School","Low","Yes","Quiet",2.73,79.7,6.29,3.2,90.3,94.2,5,"Yes",0
"High School","High","Yes","Noisy",0.5,80.8,7.36,3.2,51.3,78.9,0,"No",0
"Bachelor","Low","Yes","Moderate",4.11,65.1,4.45,2.8,84.1,51.7,4,"No",0
"Bachelor","Medium","Yes","Quiet",2.61,81.8,8.09,0.8,72.1,71.7,0,"No",0
"High School","Medium","No","Quiet",2.71,71.9,6.41,4.3,85.7,97.3,5,"No",0
"Bachelor","Low","Yes","Quiet",2.89,89.1,6.13,1,90.6,83.5,4,"No",0
"High School","Medium","Yes","Quiet",1.7,82.7,7.13,5.1,70.6,83.9,1,"No",0
"Master","Medium","No","Quiet",2.99,82,6.65,0,93.2,76.7,1,"No",0
"Bachelor","Low","Yes","Moderate",1.17,77.7,6.96,2.2,62,67,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.68,72.9,7.91,3.8,71.5,85.7,1,"No",0
"Master","High","Yes","Moderate",2.13,100,7.15,4.6,73.6,82.3,1,"No",0
"Bachelor","Low","No","Moderate",2.52,83.2,6.19,5,83.8,56.9,5,"No",0
"High School","High","Yes","Moderate",2.25,83.6,10,3.9,70.8,56.8,3,"No",0
"Bachelor","Medium","Yes","Quiet",2.07,84,8.52,3.4,100,83,1,"Yes",0
"Master","Low","Yes","Moderate",2.21,77.2,7.72,1.5,75.5,53.3,3,"No",0
"Bachelor","Medium","Yes","Moderate",1.05,84.1,6.17,1.2,84,70.3,3,"No",0
"High School","Medium","Yes","Quiet",1.5,95.5,6.08,1.2,71.3,75.6,0,"No",0
"Bachelor","Low","Yes","Quiet",2.28,71.1,7.14,1.5,89.5,54,2,"No",0
"Bachelor","Medium","Yes","Quiet",2.89,84.9,4,1.1,75,77.7,1,"No",0
"High School","Medium","Yes","Noisy",1.9,74.4,6.32,3.2,100,81.6,2,"No",0
"Master","Medium","Yes","Noisy",1.93,68.3,8.15,2.4,63.7,70.9,2,"No",0
"High School","Medium","Yes","Noisy",1.73,82,6.09,3.9,96.2,98,1,"No",0
"Bachelor","High","Yes","Noisy",2.88,71.3,7.5,5.8,82.8,90.5,1,"Yes",0
"Bachelor","Low","Yes","Moderate",1.65,73.2,5.95,6,100,66.3,0,"No",0
"Bachelor","Medium","Yes","Moderate",3.64,81.4,5.45,3.6,72.6,57.2,0,"Yes",0
"Bachelor","High","Yes","Moderate",1.44,96.2,5.38,1.4,73.7,59.5,1,"Yes",0
"Bachelor","High","Yes","Moderate",4.34,83.6,8.08,6.5,71.9,70.9,2,"No",0
"High School","Medium","Yes","Noisy",2.75,78.7,7.63,3.4,83.3,49.9,3,"Yes",0
